app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
marklite,gfm-math-images-100k.md,4,window-observed,1424.435,152.91,246.988,1,0.0,1.0124,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,ordinary-5k.md,1,window-observed,354.179,596.598,468.023,5,15.423,1.0131,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,gfm-math-images-100k.md,5,window-observed,368.241,672.934,544.246,5,15.447,1.0115,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,gfm-math-images-100k.md,3,window-observed,21.092,138.164,166.715,1,0.0,1.0102,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markpad,gfm-math-images-100k.md,2,window-observed,22.484,615.652,438.008,7,123.202,1.0146,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
moji,gfm-math-images-100k.md,5,window-observed,548.008,609.734,515.625,4,46.381,1.0107,38af3fbe00fe2a1f9c39dd0e681a3195e4ba26f32b1cb250385393bead04bcb5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,ordinary-5k.md,4,window-observed,22.707,132.16,159.281,1,0.0,1.0109,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,gfm-math-images-100k.md,4,window-observed,488.883,782.949,770.613,4,0.0,1.0108,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,gfm-math-images-100k.md,1,window-observed,881.677,679.988,550.539,5,0.0,1.012,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,gfm-math-images-100k.md,1,window-observed,296.437,286.523,330.234,1,0.0,1.0105,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,4,window-observed,21.538,43.496,62.715,1,0.0,1.0106,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,gfm-math-images-100k.md,1,window-observed,358.904,2275.188,1934.93,14,1551.019,1.0175,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marklite,ordinary-5k.md,4,window-observed,1190.05,144.477,239.469,1,61.578,1.015,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marklite,ordinary-5k.md,1,window-observed,1235.664,144.328,238.418,1,0.0,1.0158,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
