renderer,fixture,status,exit_code,sampled_peak_bytes,output,error,run
selkie-text,class.mmd,ok,0,10424320,render_ms=0.951 font_ms=0.714 raster_ms=1.229 pipeline_ms=2.994 svg_bytes=6080 width=142 height=320,,2
selkie-text,er.mmd,ok,0,9920512,render_ms=0.976 font_ms=0.656 raster_ms=1.513 pipeline_ms=3.240 svg_bytes=5947 width=252 height=403,,2
selkie-text,flowchart.mmd,ok,0,11255808,render_ms=2.781 font_ms=0.642 raster_ms=1.129 pipeline_ms=4.649 svg_bytes=4885 width=494 height=126,,2
selkie-text,gantt.mmd,ok,0,6164480,render_ms=1.355 font_ms=0.622 raster_ms=2.392 pipeline_ms=4.458 svg_bytes=6652 width=784 height=148,,2
selkie-text,gitgraph.mmd,ok,0,9392128,render_ms=1.141 font_ms=1.987 raster_ms=1.293 pipeline_ms=4.508 svg_bytes=6003 width=282 height=205,,2
selkie-text,invalid-trailing.mmd,ok,0,11751424,render_ms=2.756 font_ms=0.648 raster_ms=1.270 pipeline_ms=4.761 svg_bytes=4847 width=234 height=583,,2
selkie-text,invalid.mmd,error,2,2686976,,ERROR: Unknown diagram type: Could not detect diagram type,2
selkie-text,labels.mmd,ok,0,4972544,render_ms=3.021 font_ms=0.662 raster_ms=1.222 pipeline_ms=5.029 svg_bytes=3545 width=504 height=106,,2
selkie-text,malformed-flowchart.mmd,error,2,5533696,,"ERROR: Parse error:  --> 2:7
  |
2 |     A[Unclosed label
  |       ^---
  |
  = expected quoted_string or md_string",2
selkie-text,mindmap.mmd,ok,0,6545408,render_ms=5.094 font_ms=0.741 raster_ms=1.639 pipeline_ms=7.565 svg_bytes=9175 width=567 height=330,,2
selkie-text,oversize.mmd,error,2,3907584,,ERROR: Diagram exceeds prototype's 64 KiB input limit,2
selkie-text,pie.mmd,ok,0,4919296,render_ms=2.247 font_ms=0.620 raster_ms=2.305 pipeline_ms=5.271 svg_bytes=2934 width=584 height=450,,2
selkie-text,sequence-realistic.mmd,ok,0,11522048,render_ms=0.666 font_ms=0.654 raster_ms=3.564 pipeline_ms=4.973 svg_bytes=8838 width=681 height=571,,2
selkie-text,sequence.mmd,ok,0,2686976,render_ms=0.578 font_ms=0.670 raster_ms=1.470 pipeline_ms=2.816 svg_bytes=5627 width=450 height=258,,2
selkie-text,state.mmd,ok,0,21463040,render_ms=17.942 font_ms=0.723 raster_ms=1.112 pipeline_ms=19.874 svg_bytes=4363 width=124 height=230,,2
selkie-text,styled.mmd,ok,0,10743808,render_ms=2.732 font_ms=0.688 raster_ms=0.777 pipeline_ms=4.288 svg_bytes=3544 width=293 height=69,,2
selkie-text,unicode.mmd,ok,0,43782144,render_ms=2.707 font_ms=8.892 raster_ms=1.470 pipeline_ms=13.158 svg_bytes=4395 width=803 height=69,,2
selkie-text,workflow.mmd,ok,0,24084480,render_ms=4.339 font_ms=0.703 raster_ms=4.276 pipeline_ms=9.418 svg_bytes=10549 width=1034 height=1473,,2
merman-text,chain-200.mmd,ok,0,37474304,render_ms=62.324 font_ms=1.062 raster_ms=23.254 pipeline_ms=86.732 svg_bytes=266305 width=111 height=20870,,2
merman-text,chain-2000.mmd,error,2,56926208,,ERROR: Diagram exceeds prototype's 16 megapixel limit,2
merman-text,class.mmd,ok,0,6635520,render_ms=2.145 font_ms=0.633 raster_ms=1.357 pipeline_ms=4.226 svg_bytes=14206 width=163 height=294,,2
merman-text,er.mmd,ok,0,12533760,render_ms=2.213 font_ms=0.693 raster_ms=1.510 pipeline_ms=4.558 svg_bytes=12985 width=146 height=329,,2
merman-text,flowchart.mmd,ok,0,3629056,render_ms=2.490 font_ms=0.661 raster_ms=1.318 pipeline_ms=4.568 svg_bytes=12855 width=493 height=118,,2
merman-text,gantt.mmd,ok,0,13135872,render_ms=1.728 font_ms=0.658 raster_ms=3.058 pipeline_ms=5.529 svg_bytes=8291 width=1184 height=148,,2
merman-text,gitgraph.mmd,ok,0,2764800,render_ms=1.342 font_ms=0.661 raster_ms=1.340 pipeline_ms=3.454 svg_bytes=7892 width=272 height=172,,2
merman-text,invalid-trailing.mmd,error,2,6475776,,"ERROR: Diagram parse error (flowchart-v2): User { error: LexError { message: ""Unexpected character at 64"" } }",2
merman-text,invalid.mmd,error,2,5054464,,"ERROR: No diagram type detected matching given configuration for text: notADiagram
    {{{ unexpected input",2
merman-text,labels.mmd,ok,0,4657152,render_ms=2.270 font_ms=0.632 raster_ms=1.512 pipeline_ms=4.505 svg_bytes=10478 width=468 height=118,,2
merman-text,malformed-flowchart.mmd,error,2,6492160,,"ERROR: Diagram parse error (flowchart-v2): User { error: LexError { message: ""Unterminated node label (missing `]`)"" } }",2
merman-text,mindmap.mmd,ok,0,13008896,render_ms=7.388 font_ms=0.718 raster_ms=2.538 pipeline_ms=10.737 svg_bytes=27074 width=358 height=473,,2
merman-text,oversize.mmd,error,2,4743168,,ERROR: Diagram exceeds prototype's 64 KiB input limit,2
