variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
baseline,ordinary-5k.md,3,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8076,1.8525,4500
fat-3,gfm-math-images-100k.md,6,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,22.251199999999997,45.4934,8358.706
fat-s,gfm-math-images-100k.md,11,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,19.1649,59.7684,8358.706
fat-s,ordinary-5k.md,2,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9562,5.0207999999999995,4500
baseline,gfm-math-images-100k.md,13,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.0724,28.2735,8358.706
fat-z,gfm-math-images-100k.md,13,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,28.2579,55.244,8358.706
baseline,gfm-math-images-100k.md,12,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.3106,28.5885,8358.706
fat-s,ordinary-5k.md,7,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1456000000000002,1.4258000000000002,4500
fat-s,ordinary-5k.md,10,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8524,4.3172999999999995,4500
fat-z,gfm-math-images-100k.md,12,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,21.796599999999998,75.1923,8358.706
fat-3,ordinary-5k.md,13,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.742,3.3316,4500
fat-s,ordinary-5k.md,11,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8084,2.9072,4500
fat-3,gfm-math-images-100k.md,3,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.0407,50.6417,8358.706
baseline,gfm-math-images-100k.md,4,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.749099999999999,44.924400000000006,8358.706
baseline,ordinary-5k.md,1,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9414,3.0525,4500
fat-3,ordinary-5k.md,1,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6414,1.9137,4500
